brand_name,item_number,time,shop_type,assessment_num,monthly_sales_num,shop_num,avg_price,monthly_sales,like_num
0595,AD2738,2016/6/17,TB_JISHI,18,2552,2,11.5,38273,1
0595,AD2738,2016/6/18,TB_JISHI,18,2552,2,11.5,38273,2
0595,AD2738,2016/6/19,TB_JISHI,20,2552,2,11.5,38273,2
0595,AD2738,2016/6/20,TB_JISHI,25,2552,2,11.5,38273,2
0595,AD2738,2016/6/21,TB_JISHI,26,2552,2,11.5,38273,2
0595,AD2738,2016/6/22,TB_JISHI,27,2552,2,11.5,38273,2
0595,AD2738,2016/6/23,TB_JISHI,28,2560,2,11.5,38393,2
0595,AD2738,2016/6/24,TB_JISHI,28,2560,2,11.5,38393,2
0595,AD2738,2016/6/25,TB_JISHI,29,2560,2,11.5,38393,2
0595,AD2738,2016/6/26,TB_JISHI,30,2184,2,11.5,32753,2
0595,AD2738,2016/6/27,TB_JISHI,31,2184,2,11.5,32753,2
0595,AD2738,2016/6/28,TB_JISHI,33,2183,1,15,32745,2
0595,AD2738,2016/6/29,TB_JISHI,33,2183,1,15,32745,2
0595,AD2738,2016/6/30,TB_JISHI,34,2183,1,15,32745,2
0595,AD2738,2016/7/1,TB_JISHI,35,2040,2,11.5,30593,2
0595,AD2738,2016/7/4,TB_JISHI,36,2040,2,11.5,30593,2
0595,AD2738,2016/7/5,TB_JISHI,36,2039,1,15,30585,2
1,0026,2016/7/1,TB_JISHI,2390,3230,1,29,93670,1302
1,0026,2016/7/4,TB_JISHI,2435,3186,1,29,92394,1323
1,0026,2016/7/5,TB_JISHI,2459,3273,1,29,94917,1330
1,0026,2016/7/6,TB_JISHI,2500,3297,1,29,95613,1340
139,03,2016/6/26,TB_JISHI,1362,2134,1,28,59752,16082
139,03,2016/6/27,TB_JISHI,1425,2226,1,28,62328,16550
139,03,2016/6/28,TB_JISHI,1489,2283,1,28,63924,17249
139,999,2016/6/17,TB_JISHI,1462,2203,1,29,63887,30948
139,999,2016/6/18,TB_JISHI,1529,2217,1,29,64293,31515
139,999,2016/6/19,TB_JISHI,1567,2228,1,29,64612,31829
139,999,2016/6/20,TB_JISHI,1671,2216,1,29,64264,32310
139,999,2016/6/21,TB_JISHI,1713,2206,1,29,63974,32581
139,999,2016/6/22,TB_JISHI,1788,2228,1,29,64612,33088
139,999,2016/6/23,TB_JISHI,1847,2273,1,29,65917,33657
139,999,2016/6/24,TB_JISHI,1915,2280,1,29,66120,34256
139,999,2016/6/25,TB_JISHI,2006,2255,1,29,65395,35085
139,999,2016/6/26,TB_JISHI,2056,2248,1,29,65192,35727
139,999,2016/6/27,TB_JISHI,2125,2228,1,29,64612,36033
139,999,2016/6/28,TB_JISHI,2188,2233,1,29,64757,36286
1q,邮费补差,2016/6/17,TB_JISHI,421,11548,1,1,11548,1
1q,邮费补差,2016/6/18,TB_JISHI,437,11548,1,1,11548,1
1q,邮费补差,2016/6/19,TB_JISHI,435,8319,1,1,8319,1
1q,邮费补差,2016/6/20,TB_JISHI,435,6202,1,1,6202,1
1q,邮费补差,2016/6/21,TB_JISHI,435,6202,1,1,6202,3
1q,邮费补差,2016/6/26,TB_JISHI,435,2759,1,1,2759,3
1q,邮费补差,2016/6/27,TB_JISHI,434,3569,1,1,3569,3
1q,邮费补差,2016/6/28,TB_JISHI,434,4476,1,1,4476,3
1q,邮费补差,2016/7/4,TB_JISHI,431,6736,1,1,6736,3
3515,邮费/代购,2016/7/1,TB_JISHI,17,7245,1,1,7245,3
3515,邮费/代购,2016/7/4,TB_JISHI,24,3770,1,1,3770,4
361,0216,2016/6/21,TB_JISHI,167,2694,1,88,237072,305
361,3610851988,2016/6/17,TB_JISHI,164,2988,4,88,1320,892
361,3610851988,2016/6/18,TB_JISHI,222,2977,4,88,1320,860
361,3610851988,2016/6/19,TB_JISHI,274,2999,5,98,4432,886
361,3610851988,2016/6/20,TB_JISHI,351,2994,5,98,4952,877
361,3610851988,2016/6/21,TB_JISHI,381,2990,5,98,4952,872
361,3610851988,2016/6/22,TB_JISHI,428,2968,4,108,3672,872
361,3610851988,2016/6/23,TB_JISHI,482,2948,4,108,3780,866
361,3610851988,2016/6/24,TB_JISHI,562,2927,4,108,3888,856
361,3610851988,2016/6/25,TB_JISHI,640,2834,4,108,4104,855
361,3610851988,2016/6/26,TB_JISHI,714,2747,4,108,4428,850
